fid,urban_aggl,latitude,longitude,country_en,country_fr,gl,hl1,hl2,hl3,hl4,hl5,hl6,city_en,city_hl1,city_hl2,city_hl3,city_hl4,city_hl5,city_hl6,river_en,river_hl1,river_hl2,river_hl3,river_hl4,river_hl5,river_hl6,multiple_rivers,river_position,sub_continent,clim,clco,biome
38,Qacentina,"36,3549","6,6073",Algeria,Algérie,dz,ar,fr,no data,no data,no data,no data,Constantine;Qacentina;Kasantina,قسنطينة,Constantine,no data,no data,no data,no data,Rhumel river;Rhummel river;Rummel river;El-Kebîrl,وادي الرمال,fleuve Rhummel;fleuve Rummel,no data,no data,no data,no data,FALSE,inside,AF,c11,c12,b12
696,San Salvador de Jujuy,"-24,1946","-65,2971",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,San Salvador de Jujuy,San Salvador de Jujuy,no data,no data,no data,no data,no data,Rio Grande,Río Grande;Río Grande de Jujuy,no data,no data,no data,no data,no data,FALSE,inside,SA,c08,c14,b10
705,Posadas,"-27,3671","-55,8961",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Posadas,Posadas,no data,no data,no data,no data,no data,Paraná River,Rio Paraná,no data,no data,no data,no data,no data,FALSE,adjacent,SA,c14,c01,b01
706,Resistencia,"-27,4606","-58,9839",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Resistencia,Resistencia,no data,no data,no data,no data,no data,Negro River,río Negro,no data,no data,no data,no data,no data,FALSE,adjacent,SA,c13,c02,b07
707,Corrientes,"-27,4806","-58,8341",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Corrientes,Corrientes,no data,no data,no data,no data,no data,Paraná River,Rio Paraná,no data,no data,no data,no data,no data,FALSE,adjacent,SA,c13,c20,b09
713,Cordoba,"-31,4135","-64,1811",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Cordoba,Córdoba,no data,no data,no data,no data,no data,Suquía River;Primero river,Río Suquía;Río Primero,no data,no data,no data,no data,no data,FALSE,inside,SA,c12,c16,b08
714,Santa Fe,"-31,6327","-60,6983",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Santa Fe,Santa Fe;Santa Fe de la Vera Cruz,no data,no data,no data,no data,no data,Salado River,río Salado,no data,no data,no data,no data,no data,FALSE,adjacent,SA,c14,c15,b09
718,Rosario,"-32,9468","-60,6393",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Rosario,Rosario,no data,no data,no data,no data,no data,Paraná River,Rio Paraná,no data,no data,no data,no data,no data,FALSE,adjacent,SA,c12,c16,b08
722,Buenos Aires,"-34,6051","-58,4004",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Buenos Aires,Buenos Aires,no data,no data,no data,no data,no data,River Plate;La Plata River,Río de la Plata,no data,no data,no data,no data,no data,FALSE,far,SA,c12,c14,b08
726,Bahía Blanca,"-38,7196","-62,2724",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Bahía Blanca,Bahía Blanca,no data,no data,no data,no data,no data,Napostá Stream,Arroyo Napostá,no data,no data,no data,no data,no data,FALSE,adjacent,SA,c11,c14,b08
727_1_a,Neuquen,"-38,9514","-68,0648",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Neuquen,Neuquen,no data,no data,no data,no data,no data,Río Negro,Río negro,no data,no data,no data,no data,no data,TRUE,adjacent,SA,c11,c14,b08
727_1_b,Neuquen,"-38,9514","-68,0648",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Neuquen,Neuquen,no data,no data,no data,no data,no data,Limay river,Río limay,no data,no data,no data,no data,no data,TRUE,adjacent,SA,c11,c14,b08
727_1_c,Neuquen,"-38,9514","-68,0648",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Neuquen,Neuquen,no data,no data,no data,no data,no data,Neuquén river,Río Neuquén,no data,no data,no data,no data,no data,TRUE,adjacent,SA,c11,c14,b08
727_2_a,Plottier,"-38,9514","-68,0648",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Plottier,Plottier,no data,no data,no data,no data,no data,Río Negro,Río negro,no data,no data,no data,no data,no data,TRUE,adjacent,SA,c11,c14,b08
727_2_b,Plottier,"-38,9514","-68,0648",Argentina,Argentine,ar,es,no data,no data,no data,no data,no data,Plottier,Plottier,no data,no data,no data,no data,no data,Limay river,Río limay,no data,no data,no data,no data,no data,TRUE,adjacent,SA,c11,c14,b08
