langue;code
afrikaans;af
arabe;ar
assamais;as
aymara;ay
biélorusse;be
bulgare;bg
bambara;bm
bengali;bn
bosnien;bs
kurde (sorani);ckb
tchèque;cs
allemand;de
anglais;en
espagnol;es
persan;fa
filipino;fil
français;fr
guarani;gn
gujarati;gu
haoussa;ha
hindi;hi
croate;hr
arménien;hy
italien;it
japonais;ja
javanais;jv
géorgien;ka
khmer;km
kannada;kn
coréen;ko
kurde;ku
lingala;ln
lao;lo
lithuanien;lt
malgache;mg
macédonien;mk
malayalam;ml
mongol;mn
meitei (manipuri);mni
marathi;mr
malais;ms
birman;my
ndonga;ng
néerlandais;nl
nyanja;ny
odia;or
panjabi;pa
polonais;pl
portuguais;pt
quechua;qu
roumain;ro
russe;ru
kinyarwanda;rw
singhalais;si
slovaque;sk
albanais;sq
serbe;sr
sesotho;st
swahili;sw
tamil;ta
telugu;te
thai;th
turque;tr
tsonga;ts
ukrainien;uk
ourdou;ur
ouzbek;uz
vietnamien;vi
xhosa;xh
yoruba;yo
chinois (simplifié);zh
zoulou;zu
tadjik ;tg
